content,likes,comments,shares,post_date,platform,author_id,engagement_score
"RT @architjn: 🤙 n8n Call Assistant - FREE Download

This AI Agent takes call on my behalf:

→ answers questions about my services
→ helps b…",0,0,396,2025-08-19 23:06:32+00:00,Twitter,1045564999886925824,396
@yoonsfirefly tu me détestes j’ai compris,0,0,0,2025-08-19 23:06:32+00:00,Twitter,1317889487129743360,0
"RT @farahtweete: vidéo d’Emma Paris: quand elle a dit « t’as tout perdu, t’as perdu moi, t’as perdu ton chien j’garde ton chien » j’ai hurlé",0,0,383,2025-08-19 23:06:32+00:00,Twitter,1299655596103340032,383
"RT @ZENi_io: From “just tried it” to “can’t work without it” — ZENi is redefining how Web3 teams operate ⚡🤖

When an AI tool shifts from op…",0,0,2497,2025-08-19 23:06:32+00:00,Twitter,1851563359952338944,2497
Nice! Just try your porn AI ... 💦 I got mine in a minute - link below! 💦 #dreamgirl https://t.co/KDScN0FS9f,0,1,0,2025-08-19 23:06:32+00:00,Twitter,1747112950760980480,1
"Tweet 1:
What’s $LERN all about? 
@lern360 is building an ecosystem where education meets Web3 + AI — and $LERN is the token that powers it. 🌍🚀
#LERNPresale

@lern360 $LERN #LERN",0,1,0,2025-08-19 23:06:32+00:00,Twitter,1837900466031607809,1
"RT @ThroatGoats4: 🔥Enjoy your personal AI Throat Goat🔥
https://t.co/On8qh1XvVD
https://t.co/On8qh1XvVD https://t.co/zCjqh05ugP",0,0,8,2025-08-19 23:06:32+00:00,Twitter,1730196768321609728,8
RT @urisa0327: ล่าสุดที่นักร้องนำgun n roses ใส่เสื้อยืดรูปหน้าชีไง รูปแรกที่หลุดมา อิชายแท้ในเฟสบอก Ai ตัดต่อ เค้าไม่รู้จักชีหรอก บลาๆๆ พอ…,0,0,1904,2025-08-19 23:06:32+00:00,Twitter,1283211881058979840,1904
@elonmusk @grok who is winning the Ai race,0,0,0,2025-08-19 23:06:32+00:00,Twitter,3438067744,0
queria q o chanbin fizesse aniversário no msm dia q eu pq ai quando o hyunjin falasse hoje é aniversário da minha esposa eu ia fazer a minha fanfic,0,0,0,2025-08-19 23:06:32+00:00,Twitter,1772216675829460992,0
Real life Vs AI. Part 11,248007,353,0,2025-07-31 13:45:00+00:00,YouTube,UCDb8-E9XyZnyAA7QB_SD8Sg,248360
Give Me Some Skittles (Ai Edition) #ai #chatgpt #aiart,462116,2970,0,2024-06-02 18:44:51+00:00,YouTube,UCC-Zhd1UVyJUmjpaunmHvBQ,465086
Meta AI is crazy 💀,233533,4681,0,2025-06-21 20:21:16+00:00,YouTube,UC_485Ao_SxlCaBlOZORVsVQ,238214
AI ASMR Spreading different blue raspberries on toast #ai #asmrrelaxation #asmr #aiasmr,10045,576,0,2025-07-23 18:39:31+00:00,YouTube,UCdIWWoKFWP1nwfnwUXKhM6A,10621
I Live With Roaches (Ai Edition) 🪳 #ai #chatgpt #aiart,327940,4157,0,2024-06-27 17:48:58+00:00,YouTube,UCC-Zhd1UVyJUmjpaunmHvBQ,332097
